Keyword;Nama Bisnis;Kategori;Rating;Jumlah Ulasan;Nomor Telepon;Punya Website?;Link Website;Alamat;Link Google Maps
apotek;Apotek Multi Farma;Apotek;5;8;0812-6409-8272;Tidak;;HMM3+F7J, Jl. Darussalam, Babura Sunggal, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20112;https://www.google.com/maps/place/Apotek+Multi+Farma/data=!4m7!3m6!1s0x30312f8b0d92ff07:0xbd4eaeec6ace0cb9!8m2!3d3.5837045!4d98.6531354!16s%2Fg%2F11h_bq2xx6!19sChIJB_-SDYsvMTARuQzOauyuTr0?authuser=0&hl=id&rclk=1
apotek;Apotek Medika;Apotek;5;2;0812-6047-129;Tidak;;Jl. Kapten Muslim No.53b, Dwi Kora, Kec. Medan Helvetia, Kota Medan, Sumatera Utara 20118;https://www.google.com/maps/place/Apotek+Medika/data=!4m7!3m6!1s0x30312f0809bf7837:0xfe9f2cadad3d3b94!8m2!3d3.5952483!4d98.6444092!16s%2Fg%2F11lh5pjhht!19sChIJN3i_CQgvMTARlDs9ra0sn_4?authuser=0&hl=id&rclk=1
apotek;Apotek K-24 Medan || Jual Obat Cytotec Asli || Jual Miso Asli Melayani Cod;Toko;5;5;0822-3453-7805;Tidak;;Jl. Jend. Ahmad Yani Vll No. 9, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara, Kota Medan, Sulawesi Utara 20231;https://www.google.com/maps/place/Apotek+K-24+Medan+%7C%7C+Jual+Obat+Cytotec+Asli+%7C%7C+Jual+Miso+Asli+Melayani+Cod/data=!4m7!3m6!1s0x303131da7dbb5fcd:0x68ca941a8258258e!8m2!3d3.588543!4d98.6777522!16s%2Fg%2F11n9xhn972!19sChIJzV-7fdoxMTARjiVYghqUymg?authuser=0&hl=id&rclk=1
apotek;Apotek Bakti Medika Farma;Apotek;5;1;0813-6292-5744;Tidak;;HJXQ+PJF Komplek sevilla suites, Jl. Bakti Luhur, Dwi Kora, Kec. Medan Helvetia, Kota Medan, Sumatera Utara 20123;https://www.google.com/maps/place/Apotek+Bakti+Medika+Farma/data=!4m7!3m6!1s0x30312fc9de3df6a3:0xaea14fa9816eddbb!8m2!3d3.5993037!4d98.6390609!16s%2Fg%2F11fm5yjlcj!19sChIJo_Y93skvMTARu91ugalPoa4?authuser=0&hl=id&rclk=1
apotek;apotek derma kasih;Apotek;5;4;;Tidak;;Jl. Gatot Subroto No.345, Sei Sikambing D, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20111;https://www.google.com/maps/place/apotek+derma+kasih/data=!4m7!3m6!1s0x30312f0021058563:0xd5b8181e2f767e4!8m2!3d3.5900188!4d98.6599834!16s%2Fg%2F11ycyslmk5!19sChIJY4UFIQAvMTAR5Gf34oGBWw0?authuser=0&hl=id&rclk=1
apotek;Apotek Delima Farma;Apotek;5;1;;Tidak;;Jl. Setia Budi No.50D, Tj. Rejo, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20122;https://www.google.com/maps/place/Apotek+Delima+Farma/data=!4m7!3m6!1s0x30312fcb5224acd7:0xb08a84b34c637e51!8m2!3d3.5805042!4d98.6429813!16s%2Fg%2F11f1mwjfxq!19sChIJ16wkUssvMTARUX5jTLOEirA?authuser=0&hl=id&rclk=1
apotek;Apotek Universitas Sari Mutiara Indonesia;Apotek;5;14;0821-6210-7787;Tidak;;Jl. Kapten Muslim No.79, Helvetia Tengah, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20123;https://www.google.com/maps/place/Apotek+Universitas+Sari+Mutiara+Indonesia/data=!4m7!3m6!1s0x30312fc172821803:0x3732213174e5fc41!8m2!3d3.5984113!4d98.6447286!16s%2Fg%2F11tckbgkfk!19sChIJAxiCcsEvMTARQfzldDEhMjc?authuser=0&hl=id&rclk=1
apotek;Apotek Nasional;Apotek;5;2;;Tidak;;Jl. Ayahanda No.64B, Sei Putih Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20118;https://www.google.com/maps/place/Apotek+Nasional/data=!4m7!3m6!1s0x30312e23cf5ec9c5:0xfce999d350c78c76!8m2!3d3.597593!4d98.6535942!16s%2Fg%2F11kjmg_067!19sChIJxclezyMuMTARdozHUNOZ6fw?authuser=0&hl=id&rclk=1
bengkel motor;Bengkel AS(agus Salim);Bengkel Motor Elektrik;5;3;0812-6972-4950;Tidak;;Jl. K.H. Wahid Hasyim No.107-147, Sei Sikambing D, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20114;https://www.google.com/maps/place/Bengkel+AS%28agus+Salim%29/data=!4m7!3m6!1s0x30312e29aeba15c5:0xb61bbaa0a3ae98b4!8m2!3d3.587526!4d98.6574412!16s%2Fg%2F11hd8plgy2!19sChIJxRW6rikuMTARtJiuo6C6G7Y?authuser=0&hl=id&rclk=1
bengkel motor;Bengkel WJR25 MEDAN;Bengkel Sepeda Motor;5;25;;Tidak;;HJHR+F9F, Gg. Sosial, Tj. Rejo, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20154;https://www.google.com/maps/place/Bengkel+WJR25+MEDAN/data=!4m7!3m6!1s0x30312f00552e45f9:0x514d52296574fad8!8m2!3d3.5786968!4d98.6409342!16s%2Fg%2F11yk4dcm7d!19sChIJ-UUuVQAvMTAR2Pp0ZSlSTVE?authuser=0&hl=id&rclk=1
